TF-IDF,Compressed TF-IDF,Count,Compressed Count,Word2Vec,BERT
"Mean: 0.5915243810319433, Confidence Interval: (0.5653258499056142, 0.6177229121582724)","Mean: 0.5101671993377779, Confidence Interval: (0.4854800218760514, 0.5348543767995044)","Mean: 0.16367590873018692, Confidence Interval: (0.15651289133372231, 0.17083892612665152)","Mean: 0.14679921994858605, Confidence Interval: (0.1402633404059842, 0.1533350994911879)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.4983982614976105, Confidence Interval: (0.46637416446895785, 0.5304223585262632)"
"Mean: 0.6382076992427157, Confidence Interval: (0.6245988419123891, 0.6518165565730423)","Mean: 0.5653265188450379, Confidence Interval: (0.5502615554057226, 0.5803914822843532)","Mean: 0.27145278805097617, Confidence Interval: (0.2611658875830588, 0.2817396885188935)","Mean: 0.2486757847061102, Confidence Interval: (0.2389764354221657, 0.25837513399005474)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.5532233908341826, Confidence Interval: (0.5319973468213794, 0.5744494348469857)"
"Mean: 0.7765288232958817, Confidence Interval: (0.7640956599856186, 0.7889619866061448)","Mean: 0.7717364307672824, Confidence Interval: (0.7631381416170142, 0.7803347199175505)","Mean: 0.7306908643440828, Confidence Interval: (0.7257839274560449, 0.7355978012321207)","Mean: 0.7566267387943206, Confidence Interval: (0.7518175492766271, 0.7614359283120141)","Mean: 0.6665322274777524, Confidence Interval: (0.6605414602209684, 0.6725229947345365)","Mean: 0.7913074403297158, Confidence Interval: (0.7854666290332324, 0.7971482516261992)"
2691.696145772934,104.91501235961914,2339.758295059204,842.8445389270782,160.87426233291626,224.00797367095947
"Mean: 0.7819101123595504, Confidence Interval: (0.7776736332336227, 0.7861465914854782)","Mean: 0.7789606741573034, Confidence Interval: (0.7745536376016199, 0.7833677107129869)","Mean: 0.7174438202247192, Confidence Interval: (0.7124424306702987, 0.7224452097791397)","Mean: 0.7154775280898877, Confidence Interval: (0.7110625202023364, 0.7198925359774391)","Mean: 0.6428089887640449, Confidence Interval: (0.6381219517016041, 0.6474960258264857)","Mean: 0.722752808988764, Confidence Interval: (0.7178127630597176, 0.7276928549178104)"
"Mean: 0.7587832415821123, Confidence Interval: (0.7427628171344466, 0.774803666029778)","Mean: 0.7325161381471296, Confidence Interval: (0.7156535826286332, 0.7493786936656259)","Mean: 0.9309200935799001, Confidence Interval: (0.922099087335669, 0.9397410998241312)","Mean: 0.9299546538668182, Confidence Interval: (0.9208214107877027, 0.9390878969459336)","Mean: 1.0, Confidence Interval: (1.0, 1.0)","Mean: 0.700798742470312, Confidence Interval: (0.6798545067264654, 0.7217429782141587)"
"Mean: 0.5961525800037812, Confidence Interval: (0.5715415318568668, 0.6207636281506956)","Mean: 0.609731784080311, Confidence Interval: (0.5864168345017733, 0.6330467336588488)","Mean: 0.21686546377553773, Confidence Interval: (0.20888499129611163, 0.22484593625496382)","Mean: 0.21065272137386729, Confidence Interval: (0.20379282832914178, 0.2175126144185928)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.43668243044431676, Confidence Interval: (0.40543546309129114, 0.4679293977973424)"
"Mean: 0.6528810582659572, Confidence Interval: (0.6412021826050014, 0.664559933926913)","Mean: 0.6518320258872676, Confidence Interval: (0.6407062057948965, 0.6629578459796388)","Mean: 0.34977627074298995, Confidence Interval: (0.33913138562809997, 0.3604211558578799)","Mean: 0.3421015925186751, Confidence Interval: (0.33290029937905574, 0.3513028856582945)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.5084588052931427, Confidence Interval: (0.4861896671437173, 0.530727943442568)"
"Mean: 0.7898181152065777, Confidence Interval: (0.7800496688177563, 0.7995865615953992)","Mean: 0.811838907005956, Confidence Interval: (0.8058099386181674, 0.8178678753937445)","Mean: 0.7719023544407143, Confidence Interval: (0.7665635598167896, 0.777241149064639)","Mean: 0.775670929998086, Confidence Interval: (0.7697624202037843, 0.7815794397923876)","Mean: 0.6745790525694569, Confidence Interval: (0.6560619089387453, 0.6930961962001686)","Mean: 0.7863969563298021, Confidence Interval: (0.7805289226188582, 0.792264990040746)"
3691.2280220985413,161.06595301628113,3151.015923976898,1060.2464632987976,171.98525476455688,681.1918108463287
"Mean: 0.7447471910112359, Confidence Interval: (0.7404396615116152, 0.7490547205108565)","Mean: 0.6900000000000002, Confidence Interval: (0.6848508371215613, 0.6951491628784391)","Mean: 0.6044101123595506, Confidence Interval: (0.5983060453527524, 0.6105141793663487)","Mean: 0.6275561797752808, Confidence Interval: (0.6221583740857588, 0.6329539854648027)","Mean: 0.5123033707865168, Confidence Interval: (0.5060556319899042, 0.5185511095831293)","Mean: 0.6515449438202248, Confidence Interval: (0.6468516668662085, 0.656238220774241)"
"Mean: 0.7030402759136176, Confidence Interval: (0.6897460356087542, 0.716334516218481)","Mean: 0.5841057125465796, Confidence Interval: (0.5728188998409713, 0.5953925252521879)","Mean: 0.41187156109618833, Confidence Interval: (0.39901386594029065, 0.424729256252086)","Mean: 0.4464755450188843, Confidence Interval: (0.432580995609456, 0.4603700944283126)","Mean: 0.29911090152131714, Confidence Interval: (0.2901581891296784, 0.3080636139129559)","Mean: 0.8517259323800679, Confidence Interval: (0.8028144729577152, 0.9006373918024205)"
"Mean: 0.5115584079951648, Confidence Interval: (0.4883594233515125, 0.5347573926388172)","Mean: 0.4300524313377099, Confidence Interval: (0.408330439278255, 0.4517744233971647)","Mean: 0.26843296697050256, Confidence Interval: (0.2538309551533738, 0.28303497878763134)","Mean: 0.21944891113217208, Confidence Interval: (0.20771633802008246, 0.2311814842442617)","Mean: 0.2935309169563056, Confidence Interval: (0.28273465847022955, 0.3043271754423817)","Mean: 0.023541866887580233, Confidence Interval: (0.010604429340875375, 0.03647930443428509)"
"Mean: 0.5803344034028128, Confidence Interval: (0.5677858975552204, 0.5928829092504053)","Mean: 0.48679648974141976, Confidence Interval: (0.4727950008771603, 0.5007979786056792)","Mean: 0.32086704789301457, Confidence Interval: (0.3087484952047782, 0.33298560058125093)","Mean: 0.28937708585174404, Confidence Interval: (0.27859611336887913, 0.30015805833460896)","Mean: 0.29496787765970434, Confidence Interval: (0.2856808414428718, 0.30425491387653686)","Mean: 0.03596272547329236, Confidence Interval: (0.01900401320665031, 0.05292143773993441)"
"Mean: 0.7928286971332996, Confidence Interval: (0.7867993651657756, 0.7988580291008236)","Mean: 0.7153877429395352, Confidence Interval: (0.7095796066575968, 0.7211958792214737)","Mean: 0.5838573873584554, Confidence Interval: (0.5761398857621797, 0.5915748889547311)","Mean: 0.6250289878824605, Confidence Interval: (0.6186761264846116, 0.6313818492803095)","Mean: 0.49349158546857225, Confidence Interval: (0.485600852997073, 0.5013823179400715)","Mean: 0.7594816113914518, Confidence Interval: (0.7526618668597713, 0.7663013559231322)"
2389.5340855121613,121.27260613441467,2264.730344772339,597.8040733337402,119.11314749717712,270.06672978401184
