TF-IDF,Compressed TF-IDF,Count,Compressed Count,Word2Vec,BERT
"Mean: 0.9379166666666667, Confidence Interval: (0.9132067300126717, 0.9626266033206617)","Mean: 0.8695277777777778, Confidence Interval: (0.8193209392426604, 0.9197346163128952)","Mean: 0.5504722222222221, Confidence Interval: (0.480031091686693, 0.6209133527577513)","Mean: 0.6189583333333333, Confidence Interval: (0.5492309996722019, 0.6886856669944647)","Mean: 0.42708333333333326, Confidence Interval: (0.3694501213639004, 0.48471654530276614)","Mean: 0.7738194444444446, Confidence Interval: (0.7021313218751135, 0.8455075670137757)"
1.4720826148986816,3.215643882751465,3.9365696907043457,3.804248571395874,3.0078890323638916,3.5739786624908447
"Mean: 0.8616666666666666, Confidence Interval: (0.8347072642664319, 0.8886260690669012)","Mean: 0.8533333333333333, Confidence Interval: (0.8270859156825751, 0.8795807509840915)","Mean: 0.66, Confidence Interval: (0.632312229735455, 0.6876877702645451)","Mean: 0.6466666666666666, Confidence Interval: (0.6204192490159084, 0.6729140843174248)","Mean: 0.575, Confidence Interval: (0.552191741261844, 0.5978082587381559)","Mean: 0.6516666666666667, Confidence Interval: (0.6227811308783561, 0.6805522024549774)"
"Mean: 0.9364999999999999, Confidence Interval: (0.9101847949403137, 0.9628152050596861)","Mean: 0.9055, Confidence Interval: (0.8720264521616113, 0.9389735478383886)","Mean: 0.7926666666666666, Confidence Interval: (0.7476451258272467, 0.8376882075060865)","Mean: 0.7895, Confidence Interval: (0.7435115167508695, 0.8354884832491305)","Mean: 0.8295, Confidence Interval: (0.7836365235072613, 0.8753634764927387)","Mean: 0.8401666666666666, Confidence Interval: (0.8000249420787906, 0.8803083912545426)"
"Mean: 0.7575000000000002, Confidence Interval: (0.6924492318774536, 0.8225507681225468)","Mean: 0.7625, Confidence Interval: (0.6968255778691412, 0.8281744221308587)","Mean: 0.5691666666666666, Confidence Interval: (0.4854336776148266, 0.6528996557185066)","Mean: 0.5233333333333333, Confidence Interval: (0.43507044217540924, 0.6115962244912574)","Mean: 0.37, Confidence Interval: (0.2776532341900619, 0.4623467658099381)","Mean: 0.515, Confidence Interval: (0.4252891016158634, 0.6047108983841366)"
"Mean: 0.7720158730158729, Confidence Interval: (0.714465948762831, 0.8295657972689149)","Mean: 0.7612539682539683, Confidence Interval: (0.7017660768731312, 0.8207418596348054)","Mean: 0.5015353535353535, Confidence Interval: (0.43250067575996975, 0.5705700313107372)","Mean: 0.4459682539682539, Confidence Interval: (0.3743055613432094, 0.5176309465932983)","Mean: 0.2753333333333333, Confidence Interval: (0.2069741840765505, 0.34369248259011614)","Mean: 0.44624170274170266, Confidence Interval: (0.37264129033005255, 0.5198421151533528)"
"Mean: 0.9427916666666667, Confidence Interval: (0.9078792394715942, 0.9777040938617392)","Mean: 0.9119861111111112, Confidence Interval: (0.8763537579505024, 0.9476184642717199)","Mean: 0.628263888888889, Confidence Interval: (0.554380386844755, 0.7021473909330229)","Mean: 0.6010694444444445, Confidence Interval: (0.5368446715863338, 0.6652942173025553)","Mean: 0.48388888888888887, Confidence Interval: (0.428200019553076, 0.5395777582247017)","Mean: 0.719513888888889, Confidence Interval: (0.6451177680787991, 0.793910009698979)"
4.114166021347046,3.992492198944092,4.960959196090698,3.7760963439941406,3.6076767444610596,3.804579973220825
"Mean: 0.8366666666666666, Confidence Interval: (0.8078236463285983, 0.8655096870047349)","Mean: 0.8533333333333334, Confidence Interval: (0.8266824580089551, 0.8799842086577117)","Mean: 0.6333333333333333, Confidence Interval: (0.6080298421381115, 0.6586368245285551)","Mean: 0.6383333333333333, Confidence Interval: (0.6090952979836195, 0.6675713686830471)","Mean: 0.565, Confidence Interval: (0.5424174315012662, 0.5875825684987337)","Mean: 0.6033333333333334, Confidence Interval: (0.5794263320343183, 0.6272403346323485)"
"Mean: 0.924, Confidence Interval: (0.895954872366131, 0.9520451276338691)","Mean: 0.8660000000000001, Confidence Interval: (0.8265505669157761, 0.9054494330842241)","Mean: 0.8163333333333332, Confidence Interval: (0.7668889475336177, 0.8657777191330488)","Mean: 0.7438333333333332, Confidence Interval: (0.6923490603042486, 0.7953176063624179)","Mean: 0.8478333333333333, Confidence Interval: (0.7997774467428229, 0.8958892199238437)","Mean: 0.8425, Confidence Interval: (0.801315701616595, 0.883684298383405)"
"Mean: 0.7433333333333334, Confidence Interval: (0.6787523990983235, 0.8079142675683433)","Mean: 0.8266666666666667, Confidence Interval: (0.7775752852099045, 0.8757580481234288)","Mean: 0.41916666666666663, Confidence Interval: (0.33171222830651886, 0.5066211050268145)","Mean: 0.5466666666666666, Confidence Interval: (0.45936901084985154, 0.6339643224834818)","Mean: 0.2766666666666666, Confidence Interval: (0.19145486675348297, 0.36187846657985023)","Mean: 0.39666666666666667, Confidence Interval: (0.3034916208896157, 0.48984171244371766)"
"Mean: 0.7546984126984126, Confidence Interval: (0.6971176766090521, 0.8122791487877732)","Mean: 0.8165238095238097, Confidence Interval: (0.7766438828772706, 0.8564037361703487)","Mean: 0.36086507936507933, Confidence Interval: (0.28995566094766245, 0.4317744977824962)","Mean: 0.45708730158730154, Confidence Interval: (0.3864323371827224, 0.5277422659918807)","Mean: 0.2112813852813853, Confidence Interval: (0.14710427236421025, 0.27545849819856033)","Mean: 0.30923809523809526, Confidence Interval: (0.2364934198499039, 0.3819827706262866)"
"Mean: 0.9129166666666666, Confidence Interval: (0.8746912865847445, 0.9511420467485887)","Mean: 0.91125, Confidence Interval: (0.8817194844009928, 0.9407805155990072)","Mean: 0.5350555555555556, Confidence Interval: (0.4657647897984226, 0.6043463213126886)","Mean: 0.5206111111111111, Confidence Interval: (0.45328644735992796, 0.5879357748622943)","Mean: 0.4792083333333333, Confidence Interval: (0.42467209868345085, 0.5337445679832157)","Mean: 0.5215277777777778, Confidence Interval: (0.43258721185324983, 0.6104683437023058)"
3.9628798961639404,3.3502707481384277,3.9641079902648926,3.3984527587890625,3.483609199523926,3.555429458618164
